wave,flux,err,fit
842.563,0.503518,1.05491,-647.2946242895134
842.738,-0.277539,0.618420,-645.6091359163752
842.913,-0.258905,0.527753,-643.9208326437399
843.089,-0.258174,0.525691,-642.2309684862078
843.264,-0.257426,0.523645,-640.5381661032143
843.439,-0.0838615,0.650262,-638.8436723559701
843.614,-0.0833369,0.648247,-637.1467986878013
843.789,-0.0826358,0.646249,-635.4472900913561
843.964,-0.254855,0.515620,-633.7456784768972
844.139,-0.254006,0.513653,-632.0423735617499
844.314,-0.0836204,0.638371,-630.3362026823140
844.489,-0.0832550,0.636433,-628.6279978309464
844.664,-0.0828658,0.634511,-626.9174429150204
844.839,-0.0842096,0.631568,-625.2046567885568
845.014,-0.0834198,0.629677,-623.4896591475374
845.190,-0.0826754,0.627800,-621.7726555099055
845.365,-0.249799,0.500303,-620.0529158784946
845.540,-0.249102,0.498454,-618.3314651045806
845.715,-0.248516,0.496620,-616.6071040405969
845.890,-0.248010,0.494798,-614.8808054719683
846.065,-0.247423,0.492990,-613.1523236502073
846.240,-0.0838344,0.612269,-611.4212784587249
846.415,-0.0832637,0.610489,-609.6880671976852
846.590,0.240821,0.810106,-607.9528954188315
846.765,0.0782254,0.687280,-606.2151592584544
846.940,0.0786691,0.685540,-604.4755786838673
847.115,-0.244495,0.482431,-602.7334338523493
847.290,-0.243964,0.480718,-600.9888849973659
847.466,0.0744495,0.677551,-599.2422137334306
847.641,0.0749265,0.675864,-597.4933652841537
847.816,0.0753612,0.674190,-595.7420603824585
847.991,-0.0849027,0.590766,-593.9887346051659
848.166,-0.0844566,0.589118,-592.2331758543193
848.341,0.0723090,0.703477,-590.4749403640675
848.516,-0.0842618,0.585087,-588.7146875787736
848.691,0.0716235,0.698734,-586.9519717792908
848.866,-0.0839100,0.581143,-585.1872936542962
849.041,0.0706197,0.694425,-583.4201564671821
849.216,-0.0843676,0.577594,-581.6508829630567
849.392,0.0686960,0.690613,-579.8794212695486
849.567,-0.0797210,0.650380,-578.1054493165311
849.742,-0.0740427,0.724775,-576.3293935578997
849.917,-0.221329,0.684348,-574.5507739216785
850.092,-0.220978,0.682075,-572.7701773205837
850.267,-0.220412,0.679820,-570.9872280545666
850.442,-0.219591,0.677582,-569.2018736854683
850.617,-0.218607,0.675361,-567.4142198771298
850.792,-0.223370,0.598705,-565.6246873419021
850.967,-0.228395,0.522306,-563.8325358315947
851.142,-0.233541,0.446164,-562.0384541090217
851.318,-0.0855143,0.554744,-560.2415414625649
851.493,-0.0851426,0.553318,-558.4428508364917
851.668,0.0616348,0.661652,-556.6414427289224
851.843,0.206600,0.732873,-554.8379880227536
852.018,0.206584,0.731478,-553.0323313535968
852.193,0.0598075,0.620342,-551.2243772674487
852.368,-0.232798,0.436322,-549.4141085951070
