V,Cf,Cferr,Tau,Tau_err
-994.777,0.515170,0.360845,0.403612,1.58210
-937.872,0.546652,0.372586,0.720785,1.51914
-880.984,0.534513,0.368722,0.884494,1.48116
-824.097,0.521216,0.375307,0.971329,1.36950
-767.192,0.524960,0.378210,1.26816,1.16980
-710.270,0.643048,0.355968,1.66454,0.846365
-653.400,0.625528,0.354799,1.46193,1.23430
-596.477,0.605233,0.350456,1.38843,1.41376
-539.590,0.597579,0.340452,1.29698,1.50288
-482.703,0.616970,0.328691,1.25492,1.65641
-425.780,0.616177,0.329541,1.31367,1.51438
-368.893,0.620379,0.320707,1.36994,1.38730
-312.006,0.597585,0.324668,1.24305,1.42160
-255.083,0.527406,0.349995,1.36747,1.25109
-198.178,0.571402,0.364519,1.43837,0.811244
-141.309,0.573737,0.372736,1.53602,0.833631
-84.4040,0.467462,0.384186,1.23093,0.947719
-27.4812,0.427970,0.354931,1.09474,1.21209
29.3703,0.440849,0.358433,2.04012,1.03612
86.2931,0.413244,0.359018,1.84519,1.14349
143.216,0.00000,0.349990,0.00000,1.67466
