wave,flux,err,fit
828.331,-0.247976,0.710169,-256.6532492473982
828.507,-0.246507,0.705008,-299.4670073633722
828.683,0.0346594,0.873397,-338.7330344296827
828.860,0.172976,0.969855,-372.7450718077394
829.036,0.310305,1.06572,-400.5459652641748
829.212,0.301879,1.05503,-421.9582183716754
829.388,0.303262,1.05018,-437.4562878670911
829.565,0.570770,1.21083,-447.9438511024838
829.741,0.567384,1.20289,-454.5100471356716
829.917,1.08897,1.33414,-458.2237677736542
830.094,1.08105,1.32408,-460.0004716886646
830.270,1.08235,1.31951,-460.5472839247029
830.446,0.946054,1.24543,-460.3612010317538
830.623,0.942868,1.23796,-459.7652411275487
830.799,0.541616,1.15490,-458.9528551331036
830.975,0.660134,1.15173,-458.0331946634876
831.152,0.786501,1.24100,-457.0631741906032
831.328,0.783465,1.23388,-456.0699930570462
831.504,0.656973,1.13439,-455.0670395657958
831.681,0.404498,0.972124,-454.0574144002454
831.857,0.149600,0.819853,-453.0467149076887
832.033,0.0256064,0.722234,-452.0348387599011
832.209,-0.0975710,0.625222,-451.0218701584830
832.386,-0.0366836,0.605934,-450.0077399577266
832.562,0.0831946,0.616514,-448.9927296246694
832.738,0.139442,0.614812,-447.9763116644700
832.915,0.140532,0.610990,-446.9589796382068
833.091,0.199876,0.592491,-445.9404081952005
833.267,0.141174,0.604092,-444.9210593333939
833.444,0.0809969,0.571489,-443.9002210177222
833.620,-0.0378023,0.536159,-442.8782945561042
833.796,0.0200599,0.517849,-441.8554508979285
833.973,0.188753,0.572585,-440.8313077076786
834.149,0.414324,0.612431,-439.8061802877477
834.325,0.580982,0.666534,-438.7799914816231
834.502,0.791014,0.750932,-437.7525909610949
834.678,0.955675,0.899800,-436.7241043300714
834.854,0.949902,0.989657,-435.6945316275184
835.031,0.835235,1.02454,-434.6637564450343
835.207,0.612958,0.978096,-433.6319125129876
835.383,0.509142,0.974764,-432.5990505906808
835.559,0.610574,0.902091,-431.5648871292297
835.736,0.551739,0.777811,-430.5298008602752
835.912,0.602308,0.708679,-429.4935729981141
836.089,0.708252,0.718547,-428.4562566371642
836.265,0.756652,0.682179,-427.4175631185396
836.441,0.540277,0.624027,-426.3779540813816
836.617,0.484948,0.618224,-425.3372766805209
836.794,0.378465,0.586842,-424.2955382434844
836.970,0.478702,0.610315,-423.2526645464774
837.146,0.422987,0.582039,-422.2085471679915
837.323,0.572686,0.606830,-421.1634449473295
837.499,0.469971,0.591083,-420.1170969096495
837.675,0.569396,0.615873,-419.0697857214211
837.852,0.614299,0.613350,-418.0212384800369
838.028,0.462482,0.595784,-416.9717187614802
838.204,0.259817,0.539886,-415.9209544258756
838.381,0.358790,0.549208,-414.8691407587087
838.557,0.258356,0.519467,-413.8162299987548
838.733,0.155870,0.491626,-412.7621501637380
838.910,0.301313,0.503425,-411.7070083662745
839.086,0.348725,0.525321,-410.6507125873768
839.262,0.346822,0.522305,-409.5934143302739
839.439,0.441010,0.546066,-408.5347953487074
839.615,0.579378,0.589363,-407.4751256555164
839.791,0.773261,0.662905,-406.4144183374518
839.968,0.770882,0.718450,-405.3525026984192
840.144,0.954656,0.825082,-404.2896137466430
840.320,1.18272,0.972126,-403.2255410950776
840.497,0.992143,0.978281,-402.1602876348360
840.673,0.838018,0.999631,-401.0940286346093
840.849,1.01923,1.04529,-400.0267036856838
841.026,1.12227,1.01082,-398.9580260177869
841.202,1.02410,0.902418,-397.8884731401823
841.378,1.02287,0.842283,-396.8176330100958
841.555,1.01932,0.760480,-395.7458369136038
841.731,0.880056,0.653394,-394.6727689637557
841.907,0.721265,0.598327,-393.5986908237107
842.084,0.539259,0.549732,-392.5235183226739
842.260,0.581601,0.549728,-391.4472085239852
842.436,0.621702,0.548260,-390.3698076957341
842.613,0.619205,0.546060,-389.2911752630707
842.789,0.441760,0.497617,-388.2115257626490
842.965,0.440380,0.495465,-387.1307119160416
843.142,0.395124,0.490777,-386.0489668057015
843.318,0.305335,0.466148,-384.9659217575511
843.494,0.345256,0.484137,-383.8817670664716
843.671,0.386975,0.503418,-382.7964820302892
843.847,0.511642,0.524259,-381.7101849651604
844.023,0.510147,0.522444,-380.6226588638074
844.200,0.549381,0.540203,-379.5341544675271
844.376,0.421523,0.494825,-378.4443590433355
844.553,0.502672,0.514574,-377.3535441231797
844.729,0.374978,0.489398,-376.2616498859433
844.905,0.373521,0.487301,-375.1684826967620
845.081,0.288772,0.463502,-374.0743443974536
845.258,0.369475,0.484188,-372.9791074648414
845.434,0.447160,0.501912,-371.8826305303143
845.611,0.365229,0.490022,-370.7850661195186
845.787,0.443945,0.508956,-369.6865814375670
845.963,0.402554,0.487122,-368.5867552613615
846.140,0.440055,0.504261,-367.4860155286071
846.316,0.435391,0.501434,-366.3839306756809
846.492,0.711859,0.550698,-365.2809203014473
846.669,0.630499,0.527808,-364.1766793731470
846.845,0.669350,0.545645,-363.0715158374020
847.021,0.705621,0.544705,-361.9649175261160
847.198,0.740211,0.542952,-360.8574679539601
847.374,0.464750,0.490448,-359.7488341643893
847.550,0.502272,0.490664,-358.6390476351467
847.727,0.424383,0.479609,-357.5280886545889
847.903,0.306220,0.503419,-356.4161655010673
848.079,0.186816,0.546381,-355.3030530282451
848.256,0.237252,0.558555,-354.1887527783471
848.432,0.274000,0.587397,-353.0733728781139
848.609,0.577225,0.626044,-351.9569880115973
848.785,0.742592,0.593159,-350.8393109025842
848.961,0.741150,0.506587,-349.7206053794050
849.138,0.810885,0.500105,-348.6008107932600
849.314,0.838064,0.480620,-347.4798479372785
849.490,0.594780,0.432015,-346.3578007570624
849.667,0.561044,0.429467,-345.2346403965822
849.843,0.558616,0.428146,-344.1103145208589
850.019,0.586221,0.427698,-342.9848792789746
850.196,0.612719,0.426624,-341.8584954120418
850.372,0.816558,0.470491,-340.7307584836603
850.548,0.784093,0.468042,-339.6020881637302
850.725,0.781828,0.466443,-338.4722402824061
850.901,0.750709,0.463968,-337.3411150261165
851.078,0.632261,0.433363,-336.2089841657509
851.254,0.513326,0.403083,-335.0757578108675
851.430,0.425040,0.373675,-333.9415394362072
851.607,0.394538,0.371422,-332.8060235171439
851.783,0.392982,0.370120,-331.6695275660338
851.959,0.391957,0.369047,-330.5317923390544
852.136,0.361671,0.366972,-329.3930847766351
852.312,0.501081,0.394431,-328.2531534310317
852.488,0.527424,0.393913,-327.1120764978181
852.665,0.525718,0.392614,-325.9698681912697
852.841,0.635733,0.419455,-324.8265819604582
853.017,0.689377,0.431922,-323.6821801868803
853.194,0.630390,0.429199,-322.5366713777566
853.370,0.655736,0.440986,-321.3899597956574
853.547,0.626595,0.426611,-320.2422369475236
853.723,0.568899,0.411430,-319.0934379634919
853.899,0.484637,0.383422,-317.9433344396463
854.076,0.482328,0.381829,-316.7922791891090
854.252,0.425807,0.366690,-315.6401129139371
854.428,0.560068,0.393053,-314.4866297731023
854.605,0.504367,0.378495,-313.3321769853899
854.781,0.610896,0.404209,-312.1766472635720
854.958,0.689085,0.416558,-311.0199339794172
855.134,0.767807,0.429430,-309.8622678339740
855.310,0.738076,0.427760,-308.7032695479946
855.487,0.737063,0.426770,-307.5431648445635
855.663,0.681464,0.412472,-306.3820206817020
855.839,0.519673,0.371715,-305.2197344467884
856.016,0.543344,0.370915,-304.0563644207828
856.192,0.469503,0.360792,-302.8917986423991
856.368,0.649985,0.407166,-301.7261774789708
856.545,0.615391,0.407158,-300.5593477487430
856.721,0.665909,0.436069,-299.3914989150592
856.898,0.488409,0.404922,-298.2224301720279
857.074,0.569196,0.432216,-297.0523071000187
857.250,0.501723,0.429276,-295.8811074921325
857.427,0.541897,0.432133,-294.7087385215090
857.603,0.694452,0.440348,-293.5352151134209
857.779,0.789630,0.455960,-292.3606333188163
857.956,0.647795,0.408277,-291.1848865698836
858.132,0.531805,0.362040,-290.0080884443940
858.309,0.622315,0.380973,-288.8300260814968
858.485,0.567848,0.379034,-287.6509498586269
858.661,0.515697,0.365343,-286.4707251742612
858.838,0.540152,0.365677,-285.2895052504365
859.014,0.564199,0.377015,-284.1069910720308
859.190,0.386312,0.337231,-282.9233684554146
859.367,0.383450,0.335876,-281.7387278877499
859.543,0.507023,0.360286,-280.5529748864748
859.720,0.580658,0.383922,-279.3660297873998
859.896,0.653804,0.395942,-278.1780476109558
860.072,0.702676,0.408188,-276.9887565532221
860.249,0.601544,0.382774,-275.7985065904986
860.425,0.500950,0.368438,-274.6072311804937
860.601,0.499169,0.367359,-273.4145455432948
860.778,0.472708,0.365759,-272.2210358640475
860.954,0.471637,0.364807,-271.0262623214460
861.131,0.615955,0.388396,-269.8304002317266
861.307,0.735970,0.411969,-268.6333349883399
861.483,0.637621,0.386037,-267.4353554819978
861.660,0.636093,0.384835,-266.2359535958952
861.836,0.707432,0.396661,-265.0357423228685
862.013,0.608626,0.383183,-263.8342128538828
862.189,0.606441,0.382132,-262.6316173658279
862.365,0.773446,0.418261,-261.4278738764231
862.542,0.795818,0.418023,-260.2230302319223
862.718,0.747898,0.403920,-259.0169708145420
862.895,0.759618,0.400007,-257.8100198343912
863.071,0.664023,0.374331,-256.6017746896305
863.247,0.568647,0.348544,-255.3924808697738
863.424,0.462024,0.315170,-254.1820051925554
863.600,0.519747,0.324389,-252.9704418774807
863.776,0.517733,0.323531,-251.7577218722347
863.953,0.457718,0.303636,-250.5438909671456
864.129,0.456365,0.304279,-249.3289987080659
864.306,0.653747,0.347880,-248.1128960532348
864.482,0.573109,0.346373,-246.8957191709489
864.658,0.553302,0.379519,-245.6775335770245
864.835,0.650982,0.441718,-244.4579792331389
865.011,0.621989,0.443277,-243.2375454819238
865.188,0.511647,0.435971,-242.0159002286681
865.364,0.503122,0.429648,-240.7930756781866
865.540,0.434010,0.388671,-239.5691929597291
865.717,0.538270,0.390898,-238.3441695574126
865.893,0.623801,0.418341,-237.1180300151999
866.070,0.593479,0.416535,-235.8907986168183
866.246,0.563845,0.414350,-234.6624356363246
866.422,0.677390,0.442263,-233.4329653472257
866.599,0.531744,0.411909,-232.2023486690514
866.775,0.444371,0.383221,-230.9706374027643
866.951,0.414667,0.368724,-229.7376755213876
867.128,0.499234,0.383883,-228.5037342592633
867.304,0.440496,0.368937,-227.2686251360578
867.481,0.467619,0.369141,-226.0323446541276
867.657,0.568752,0.374608,-224.7950120287113
867.833,0.669774,0.380252,-223.5565027814377
868.010,0.769656,0.380690,-222.3170179486620
868.186,0.832245,0.371998,-221.0762263907864
868.363,0.764969,0.344123,-219.8344203794969
868.539,0.726240,0.334414,-218.5913968357487
868.715,0.632088,0.315299,-217.3472853569928
868.892,0.592719,0.305593,-216.1021075932905
869.068,0.590530,0.304863,-214.8557140062053
869.245,0.589731,0.304276,-213.6082615247713
869.421,0.661380,0.321343,-212.3596834755730
869.597,0.806667,0.348168,-211.1099794509385
869.774,0.677257,0.328372,-209.8591689449559
869.950,0.620942,0.318733,-208.6072057441385
870.127,0.656821,0.327429,-207.3540950658512
870.303,0.491898,0.290722,-206.0999177805942
870.479,0.453611,0.281106,-204.8445839158041
870.656,0.495048,0.293083,-203.5882257846362
870.832,0.520820,0.304027,-202.3306050014469
871.009,0.582871,0.315662,-201.0719580453094
871.185,0.613492,0.333240,-199.8121293267634
871.362,0.670345,0.356042,-198.5511798309919
871.538,0.704716,0.363883,-197.2891891392166
871.714,0.617984,0.351636,-196.0259982597501
