wave,flux,err,fit
849.490,0.594780,0.432015,-398.8790774804521
849.667,0.561044,0.429467,-397.5115130528679
849.843,0.558616,0.428146,-396.1432716090425
850.019,0.586221,0.427698,-394.7742593686344
850.196,0.612719,0.426624,-393.4046980386019
850.372,0.816558,0.470491,-392.0343957980965
850.548,0.784093,0.468042,-390.6635714356229
850.725,0.781828,0.466443,-389.2919977375009
850.901,0.750709,0.463968,-387.9197004834688
851.078,0.632261,0.433363,-386.5467854303205
851.254,0.513326,0.403083,-385.1732541180868
851.430,0.425040,0.373675,-383.7991468362633
851.607,0.394538,0.371422,-382.4241920189431
851.783,0.392982,0.370120,-381.0486680551251
851.959,0.391957,0.369047,-379.6724791166155
852.136,0.361671,0.366972,-378.2957339554141
852.312,0.501081,0.394431,-376.9181431695220
852.488,0.527424,0.393913,-375.5399811416634
852.665,0.525718,0.392614,-374.1610286261301
852.841,0.635733,0.419455,-372.7814778885501
853.017,0.689377,0.431922,-371.4012858236657
853.194,0.630390,0.429199,-370.0204308529873
853.370,0.655736,0.440986,-368.6389231804831
853.547,0.626595,0.426611,-367.2566905849504
853.723,0.568899,0.411430,-365.8738861359699
853.899,0.484637,0.383422,-364.4903049788007
854.076,0.482328,0.381829,-363.1061457030678
854.252,0.425807,0.366690,-361.7212992480753
854.428,0.560068,0.393053,-360.3358646472702
854.605,0.504367,0.378495,-358.9496676256971
854.781,0.610896,0.404209,-357.5628332465883
854.958,0.689085,0.416558,-356.1753861210847
855.134,0.767807,0.429430,-354.7872051154517
855.310,0.738076,0.427760,-353.3983455211298
855.487,0.737063,0.426770,-352.0088363741067
855.663,0.681464,0.412472,-350.6187376734690
855.839,0.519673,0.371715,-349.2278976801045
856.016,0.543344,0.370915,-347.8363899655752
856.192,0.469503,0.360792,-346.4442197779312
856.368,0.649985,0.407166,-345.0514091120853
856.545,0.615391,0.407158,-343.6578829612336
856.721,0.665909,0.436069,-342.2636904355656
856.898,0.488409,0.404922,-340.8688327219011
857.074,0.569196,0.432216,-339.4733366449402
857.250,0.501723,0.429276,-338.0771490198636
857.427,0.541897,0.432133,-336.6802921616955
857.603,0.694452,0.440348,-335.2827157577870
857.779,0.789630,0.455960,-333.8844781975524
857.956,0.647795,0.408277,-332.4855719603846
858.132,0.531805,0.362040,-331.0861033961873
858.309,0.622315,0.380973,-329.6858314305290
858.485,0.567848,0.379034,-328.2848966340498
858.661,0.515697,0.365343,-326.8833943556895
858.838,0.540152,0.365677,-325.4812062614366
859.014,0.564199,0.377015,-324.0783151248166
859.190,0.386312,0.337231,-322.6746554228984
859.367,0.383450,0.335876,-321.2704808368670
859.543,0.507023,0.360286,-319.8655339625383
859.720,0.580658,0.383922,-318.4600201739381
859.896,0.653804,0.395942,-317.0537600484952
860.072,0.702676,0.408188,-315.6467567365663
860.249,0.601544,0.382774,-314.2392057618684
860.425,0.500950,0.368438,-312.8309354109019
860.601,0.499169,0.367359,-311.4218908300580
860.778,0.472708,0.365759,-310.0123051195184
860.954,0.471637,0.364807,-308.6020473303221
861.131,0.615955,0.388396,-307.1911202372555
861.307,0.735970,0.411969,-305.7793929104808
861.483,0.637621,0.386037,-304.3672213278466
861.660,0.636093,0.384835,-302.9540742358868
861.836,0.707432,0.396661,-301.5405335833797
862.013,0.608626,0.383183,-300.1261678065205
862.189,0.606441,0.382132,-298.7111562007135
862.365,0.773446,0.418261,-297.2953937706270
862.542,0.795818,0.418023,-295.8790612419631
862.718,0.747898,0.403920,-294.4619260625362
862.895,0.759618,0.400007,-293.0442200705330
863.071,0.664023,0.374331,-291.6258389888994
863.247,0.568647,0.348544,-290.2067347933934
863.424,0.462024,0.315170,-288.7870285529040
863.600,0.519747,0.324389,-287.3665243543866
863.776,0.517733,0.323531,-285.9454457623515
863.953,0.457718,0.303636,-284.5235648942792
864.129,0.456365,0.304279,-283.1010593926023
864.306,0.653747,0.347880,-281.6779781361010
864.482,0.573109,0.346373,-280.2540702101857
864.658,0.553302,0.379519,-278.8295849517911
864.835,0.650982,0.441718,-277.4043285050965
865.011,0.621989,0.443277,-275.9784900751627
865.188,0.511647,0.435971,-274.5519764057167
865.364,0.503122,0.429648,-273.1247140916392
865.540,0.434010,0.388671,-271.6968450786820
865.717,0.538270,0.390898,-270.2682766157653
865.893,0.623801,0.418341,-268.8389286238246
866.070,0.593479,0.416535,-267.4090498994145
