wave,flux,err,fit
810.348,-0.299327,0.871631,-574.5741695090074
810.522,-0.297130,0.864333,-670.4182635017885
810.696,-0.294952,1.06695,-758.3609631966696
810.871,0.268875,1.05984,-834.5922927476208
811.045,0.271000,1.25924,-896.9760619201056
811.219,0.825593,1.25231,-945.1150541019870
811.393,0.265989,1.24546,-980.0687799652707
811.568,0.268036,1.02897,-1003.852735019075
811.742,-0.282439,1.02229,-1018.895548284956
811.916,-0.280442,0.809279,-1027.581171265555
812.090,-0.278469,0.920804,-1031.951859915126
812.264,-0.0133707,1.10983,-1033.582588017457
812.439,0.510677,1.21977,-1033.581938099049
812.613,0.771577,1.32892,-1032.668643019213
812.787,0.767267,1.32273,-1031.275520108632
812.961,0.246998,1.19858,-1029.644466263337
813.135,-0.0101695,1.18528,-1027.901717174786
813.310,0.236679,1.17512,-1026.109997516982
813.484,0.487528,1.23773,-1024.296725542144
813.658,0.983587,1.23191,-1022.470377075434
813.832,0.483332,1.40740,-1020.642478205974
814.006,0.722767,1.40069,-1018.813243908159
814.181,0.954797,1.38969,-1016.983470404695
814.355,1.19620,1.20022,-1015.151540524486
814.529,0.711088,1.29996,-1013.319413143708
814.703,0.224247,1.11331,-1011.485474178182
814.878,-0.0138442,1.09434,-1009.650594928557
815.052,0.453035,0.982360,-1007.814413342732
815.226,0.218488,1.07948,-1005.976624765685
815.400,0.449280,0.969113,-1004.137987086060
815.574,-0.0144451,1.13950,-1002.297951382794
815.748,0.664764,1.06120,-1000.456775988579
815.923,0.661308,1.05623,-998.6144949200747
816.097,0.662803,0.948979,-996.7709930243055
816.271,-0.0133975,1.10822,-994.9259184188820
816.445,0.202733,1.02556,-993.0796332392322
816.620,0.422079,0.920558,-991.2324504257627
816.794,0.423505,0.915874,-989.3841894355307
816.968,-0.0140109,0.911245,-987.5344187797039
817.142,-0.230520,0.742572,-985.6831191963529
817.316,-0.229143,0.734911,-983.8311353660512
817.491,-0.0174103,0.730443,-981.9774969752031
817.665,-0.0160646,0.881535,-980.1228462038051
817.839,0.400224,0.969852,-978.2672253231985
818.013,0.397227,0.965537,-976.4101424441035
818.188,0.398527,0.957091,-974.5520304492994
818.362,0.188121,1.04261,-972.6926217042611
818.536,0.185227,0.882934,-970.8317394948733
818.710,0.186483,0.934510,-968.9698701556828
818.884,0.382854,1.07787,-967.1070045746953
819.059,0.577931,1.07109,-965.2425740166608
819.233,0.775706,1.06439,-963.3772680812926
819.407,0.573777,1.06045,-961.5100489044030
819.581,0.179219,1.05196,-959.6419443045806
819.755,0.369270,0.986129,-957.7729793705137
819.930,0.366631,1.03678,-955.9025548476548
820.104,0.748237,1.08715,-954.0308955213175
820.278,0.741944,1.22933,-952.1581621429578
820.452,1.11499,1.08189,-950.2840570265137
820.627,0.735635,1.07577,-948.4085413276350
820.801,0.544136,1.06792,-946.5320016246009
820.975,0.350325,0.923240,-944.6543691192994
821.149,0.351397,0.773825,-942.7752819878453
821.324,0.167041,0.905659,-940.8952175959130
821.498,0.161225,0.899872,-939.0138913394718
821.672,0.341958,0.838886,-937.1313858406720
821.846,0.521572,0.973798,-935.2476600142023
822.021,0.693444,0.970477,-933.3626716234885
822.195,0.514751,0.831887,-931.4764071521547
822.369,0.337153,0.826414,-929.5888896827183
822.543,-0.0200682,0.821002,-927.7002678401176
822.717,0.154140,0.756050,-925.8105453708966
822.892,0.327302,0.828989,-923.9194463072097
823.066,0.325144,0.901551,-922.0272205171559
823.240,0.323010,0.824622,-920.1338417018944
823.414,0.251061,0.758576,-918.2391482042486
823.589,0.330363,0.693976,-916.3432341670648
823.763,0.409213,0.602367,-914.4460363551877
823.937,0.391230,0.536085,-912.5477834539020
824.111,0.305167,0.543407,-910.6482700001502
824.285,0.301771,0.537357,-908.7474102381074
824.460,0.382948,0.531357,-906.8455248608701
824.634,0.381035,0.579942,-904.9425235105755
824.808,0.539277,0.564824,-903.0381313914390
824.982,0.376784,0.561365,-901.1328115979535
825.157,0.454791,0.583743,-899.2258802859601
825.331,0.369494,0.580908,-897.3179626469170
825.505,0.528300,0.641246,-895.4088287135206
825.679,0.759544,0.755695,-893.4985955841934
825.854,0.752639,0.906773,-891.5867445914168
826.028,1.36984,0.936850,-889.6740176054615
826.202,1.05271,1.04259,-887.7600835134466
826.376,1.20218,1.05751,-885.8447019926452
826.551,0.884779,0.949196,-883.9286102300625
