wave,flux,err,fit
831.081,0.108510,0.436016,-675.2367173440543
831.255,0.375091,0.434016,-673.6139189494980
831.430,0.373868,0.454315,-671.9905688655573
831.604,0.505900,0.474012,-670.3663166049143
831.778,0.502064,0.482311,-668.7415215510966
831.952,0.369827,0.478639,-667.1160734450469
832.126,0.432969,0.496973,-665.4897349660336
832.301,0.364117,0.492719,-663.8627519403713
832.475,0.493945,0.470756,-662.2351595967289
832.649,0.426572,0.459230,-660.6068783211612
832.823,0.231277,0.438709,-658.9777067181760
832.998,0.293732,0.416427,-657.3479334232438
833.172,0.228053,0.416739,-655.7174123926761
833.346,0.354047,0.412856,-654.0861877478155
833.520,0.288936,0.451134,-652.4541332501996
833.695,0.475726,0.487318,-650.8216996390051
833.869,0.785778,0.485394,-649.1884237065382
834.043,0.784559,0.520553,-647.5545005019627
834.218,0.904642,0.519031,-645.9197844362621
834.392,0.528892,0.516635,-644.2842750871349
834.566,0.711912,0.494076,-642.6482892557741
834.740,0.523693,0.483352,-641.0114236892514
834.914,0.400808,0.462876,-639.3739870069122
835.089,0.397223,0.480195,-637.7356739796537
835.263,0.394465,0.458185,-636.0967994008643
835.437,0.515144,0.437353,-634.4572172401417
835.612,0.332336,0.464427,-632.8169361578065
835.786,0.389405,0.442306,-631.1757182565588
835.960,0.388253,0.403649,-629.5340793250132
836.134,0.327967,0.401895,-627.8916424620875
836.309,0.148089,0.419933,-626.2483192016792
836.483,0.323009,0.381072,-624.6045268761557
836.657,0.322649,0.416315,-622.9598951206889
836.831,0.612661,0.451001,-621.3145497844059
837.006,0.551861,0.468933,-619.6686422206657
837.180,0.782855,0.483965,-618.0218020823954
837.354,0.778662,0.500051,-616.3744435619227
837.528,0.661693,0.453483,-614.7263760141626
837.703,0.373239,0.435464,-613.0776066156313
837.877,0.141480,0.416195,-611.4278586405381
838.051,0.197220,0.378419,-609.7776313943359
838.226,0.310381,0.395732,-608.1267043790078
838.400,0.421206,0.420519,-606.4750195624645
838.574,0.475649,0.400480,-604.8226800562514
838.748,0.419037,0.431818,-603.1694922790469
838.923,0.472125,0.471741,-601.5159182644861
839.097,0.361510,0.505160,-599.8614562550752
839.271,0.498277,0.489565,-598.2059692311642
839.445,0.240356,0.532981,-596.5501399160601
839.620,0.351110,0.522986,-594.8935567956535
839.794,0.308186,0.476921,-593.2360865838654
839.968,0.385542,0.409018,-591.5780903981773
840.143,0.293860,0.403763,-589.9192932688231
840.317,0.319905,0.387869,-588.2598340887591
840.491,0.472161,0.374075,-586.5996229049731
840.665,0.644451,0.402055,-584.9387911158045
840.840,0.858781,0.414126,-583.2771167877713
841.014,0.770102,0.426276,-581.6147328239142
841.188,0.767429,0.411269,-579.9518651212512
841.362,0.550465,0.409290,-578.2879747652177
841.537,0.591312,0.395410,-576.6235952185290
841.711,0.588825,0.393470,-574.9582838175210
841.885,0.587515,0.404491,-573.2925287950269
842.060,0.711641,0.389990,-571.6257968172233
842.234,0.499138,0.376106,-569.9585300293573
842.408,0.497913,0.374071,-568.2904217087099
842.582,0.369505,0.385440,-566.6216899797234
842.757,0.535336,0.371277,-564.9520702185685
842.931,0.616841,0.396026,-563.2820045074452
843.105,0.614699,0.395544,-561.6110053165338
843.279,0.571393,0.370058,-559.9394720570344
843.454,0.446091,0.357216,-558.2672249625616
843.628,0.402994,0.355872,-556.5940907987031
843.802,0.441997,0.299086,-554.9202889793173
843.977,0.359807,0.297456,-553.2458577717896
844.151,0.317703,0.320438,-551.5706765037380
844.325,0.315767,0.318496,-549.8947324522914
844.499,0.436559,0.305826,-548.2181191668755
