Parameter,Value,Error
"redshift",3.07483,0.00000
"S/N",2.58602,0.00000
"Vdisp",120.000,0.00000
"Stellar",1.31383e+07,2.62347e+06
"E(B-V)",0.397077,0.00972542
"fcov(HI)",0.953204,0.0374861
"fcov(OI)",1.00000,0.00000
"log_n(HI)",18.0000,0.00000
"log_n(OI)",16.5000,-0.00000
"b(HI)",386.273,14.6073
"b(OI)",365.547,37.3938
"v(HI)",83.1073,26.0051
"v(OI)",216.500,29.3806
