Parameter,Value,Error
"redshift",3.07483,0.00000
"S/N",2.58602,0.00000
"Vdisp",120.000,0.00000
"Stellar",1.31383e+07,2.62347e+06
"E(B-V)",0.397077,0.00972542
"fcov(HI)",0.949597,0.0391686
"fcov(OI)",1.00000,0.00000
"log_n(HI)",17.4115,0.127279
"log_n(OI)",16.5000,-0.00000
"b(HI)",500.000,-0.00000
"b(OI)",365.067,37.3550
"v(HI)",131.957,38.6950
"v(OI)",216.265,29.3393
