wave,flux,err,fit
847.841,0.493298,1.22487,-42.21847051063882
848.020,-0.207474,0.697470,-49.26701013182005
848.199,0.208927,1.00403,-55.71905290762748
848.378,0.205787,0.997628,-61.29222922180449
848.557,0.206534,0.993771,-65.82872181668452
848.736,0.207413,0.989951,-69.30022564344888
848.915,0.204687,0.983407,-71.78651743110159
849.094,0.0690860,0.876948,-73.43859944799563
849.274,-0.0658092,0.771054,-74.43796605908713
849.453,-0.0646798,0.767377,-74.96254497999098
849.632,-0.0635663,0.763734,-75.16486309458355
849.811,-0.196621,0.659832,-75.16246024400085
849.990,-0.195992,0.656257,-75.03806931984447
850.169,-0.0658585,0.749145,-74.84532435907113
850.348,0.0640374,0.841548,-74.61655068551897
850.527,0.192877,0.933648,-74.36981484429752
850.706,0.193748,0.930205,-74.11452872828086
850.885,0.194835,0.926795,-73.85527697383168
851.064,0.0663165,0.826988,-73.59430045394947
851.244,-0.0615652,0.727731,-73.33208684975654
851.423,-0.188724,0.628840,-73.06953069572523
851.602,-0.188109,0.625555,-72.80670195021634
851.781,-0.187589,0.622300,-72.54352786789670
851.960,-0.186985,0.619075,-72.28012180655804
852.139,-0.0645546,0.706540,-72.01634333479467
852.318,0.0574208,0.793526,-71.75226759031865
852.497,0.178817,0.880122,-71.48785005331095
852.676,0.179693,0.877014,-71.22316647750787
852.855,0.180812,0.873935,-70.95817405013030
853.034,0.0602555,0.780224,-70.69285759377550
853.213,-0.0596094,0.687049,-70.42721200766918
853.393,-0.0611001,0.682409,-70.16125642745860
853.572,-0.0597329,0.679442,-69.89505431901794
853.751,0.0578200,0.763876,-69.62846979666324
853.930,0.174789,0.847784,-69.36162024053574
854.109,0.290856,0.930337,-69.09442036278664
854.288,0.403371,0.981838,-68.82694596723105
854.467,0.404356,0.979002,-68.55914187704177
854.646,0.289049,0.888817,-68.29104339115948
854.825,0.287272,0.883772,-68.02260682669670
855.004,0.285675,0.879765,-67.75392337726989
855.184,0.0572588,0.734580,-67.48486753088933
855.363,0.0577706,0.731871,-67.21554757107079
855.542,0.169189,0.811376,-66.94587553335815
855.721,0.0564038,0.724153,-66.67593383370088
855.900,0.0541842,0.718813,-66.40565591605471
856.079,0.0545203,0.716199,-66.13508005947605
856.258,0.0547435,0.713608,-65.86418215293477
856.437,-0.0561433,0.628851,-65.59296780052703
856.616,0.0519611,0.706924,-65.32145646714612
856.795,-0.0579663,0.622911,-65.04961425949156
856.975,-0.0580180,0.620411,-64.77750297692639
857.154,-0.0578783,0.617934,-64.50504849245641
857.333,0.0482305,0.694157,-64.23227600157855
857.512,-0.0596335,0.611106,-63.95920910105080
857.691,-0.0593899,0.608694,-63.68584051596745
857.870,-0.0587448,0.606302,-63.41215906498790
858.049,-0.0581018,0.603932,-63.13813219545418
858.228,-0.0595938,0.599717,-62.86383756979946
858.407,-0.0585980,0.597388,-62.58918639674233
858.586,0.0451001,0.672132,-62.31425382298006
858.765,0.0459315,0.669844,-62.03901911491253
858.945,0.0470443,0.667576,-61.76346499706461
859.124,0.0457939,0.664381,-61.48761139127547
859.303,0.147790,0.737581,-61.21140377738541
859.482,0.0460224,0.658321,-60.93492667592223
859.661,0.146996,0.730910,-60.65812331178986
859.840,0.147853,0.728740,-60.38101366225998
860.019,0.245637,0.774541,-60.10358723890791
860.198,0.244104,0.770871,-59.82585938006353
860.377,0.244493,0.768757,-59.54781646041844
860.556,0.144665,0.691884,-59.26944627117895
860.736,0.144974,0.689806,-58.99077196984557
860.915,0.0440986,0.636822,-58.71177473432974
861.094,0.0101732,0.578081,-58.43247190504090
861.273,0.0750316,0.593168,-58.15287821794071
861.452,0.139687,0.608238,-57.87294151131839
861.631,0.203901,0.623290,-57.59271601974750
