V,Cf,Cferr,Tau,Tau_err
-996.684,0.311567,0.280279,0.00000,1.44898
-940.224,0.275044,0.275050,0.00000,1.17147
-883.765,0.160387,0.235818,1.38135,1.11015
-827.305,0.133977,0.217286,4.64929,1.21484
-770.864,0.164727,0.318910,0.211678,1.02747
-714.404,0.151049,0.325093,0.00000,1.19247
-657.980,0.0680000,0.251871,0.00000,1.19431
-601.539,0.114000,0.317969,0.00000,1.10295
-545.079,0.143000,0.350247,0.00000,1.09219
-488.620,0.381868,0.323174,1.17987,0.926302
-432.178,0.329015,0.448240,0.0196389,1.07201
-375.719,0.306229,0.296155,0.806278,1.22366
-319.260,0.262505,0.295931,3.99019,1.30157
-262.800,0.324745,0.309976,2.15957,1.19213
-206.358,0.421000,0.493967,0.0530941,0.953608
-149.917,0.627883,0.385260,0.772901,0.879230
-93.4575,0.535000,0.499025,0.0423648,0.921038
-36.9980,0.631002,0.320825,1.35815,0.818682
19.4614,0.543871,0.358188,1.22122,0.875565
75.9208,0.447886,0.319905,0.345079,1.79089
132.345,0.427755,0.315051,0.00000,1.71143
188.804,0.00000,0.332241,0.379154,1.63164
