"Label","case","sampl","types","zused","R","SN","logoh","Errlogoh","Models","T","Size","rc","EbvMW","SFR","SFRdens","Logm","EW","Ewdiv","Errew","Errewdiv","Lumdist","Lumdistb","distratio","Fluxb","Lumb","Fluxlya","Errfluxlya","Lumha","Errlumha","Lumhb","Errlumhb","Lumlya","Errlumlya","FescLya","Errfesclya","Fesclyacorr","FescLyalog","Errfesclyalog","fmincont","errfmincont","flyamax","errflymax","ratio","lyaaym","Vtroughblue","Vtroughred","Errvtough","Vblue","Errvblue","Vred","Errvred","Vsep","Errvsep","Vbluecorr","Vblueinv","Errvbluecorr","Vredcorr","Errvredcorr","Vsepcorr","Errvsepcorr","Vwidthmin","Errvwidthmin","Vwidthmax","Errvwidthmax","OIII","ErrOIII","SiIIew","ErrSiIIew","VsiII","ErrvsiII","SiIIIew","ErrSiIIIew","Ageizo","Errage","Age","Ebv","Errebv","Ebvho","Errebvho","NHI","ErrN","ErrtotN","NsiII","ErrnsiII","NcII","ErrncII","NsIII","ErrnSIII","NOIfree","Errnofree","Nhfromno","Errnhfromno","Nsifromno","Bhfree","Errbhfree","Bofree","ErrBofree","Vshiftz","Vfree","Errvfree","Vofree","Errvofree","VsiIIb","ErrvsiIIb","VcII","ErrvcII","VsIII","ErrVsIII","Cfsidoublet","Errcfsidoublet","CfsiA","ErrcfsiA","Cfsiav","Cfsierr","Cffree","Errcffree","Errcffreetot","Cfdepth","Errcfdepth","Cfav","Invcfav","Cfstd","Cfho","Errcfho","Fescknown","Errfescknown","fesclycebv","Errfescebv","fescmescf","Errfescmescf","fescmescfh","Errfescmescfh","fesclyaebv","Errfesclyaebv","fesclyames","Errfesclyames","fcovcorr","Errfcovcorr","fcovsicorr","Errfcovsicorr","fesctot","Errz","fesclyames","ratioatt","ratioobs","Attlycred","Attlyared","Attlycsmc","Attlyasmc"
"J1248+4259",24,0,1,0.3629,200,,7.64,0.01,,18820,1.64,0.22,0.021,37,4.3,8.2,258,2.34545454545455,9,0.081818181818182,2012,1956,1.03,109,5,150,2.7,4.77,0.24,1.7,0.07,7.15,0.13,0.17,0.01,,,,4.85,2.25,7.44E-15,6.65E-16,2080000000000000,3.8,-10,-10,20,-130,30,140,30,270,42,-120,120,30,150,40,270,50,232,50,428,72,11.8,0.09,,,,,,,2.5,,8.1,0.253,0.073,0.347,0.103,19.5,33,33.02,,,,,15.79,0.81,,,,,,80,329,,,,56,49,138,74,,,,,114,131,,,,,,,0.98,0.217,0.241,0.948,0.115,0.954,0.046,0.104,0.998,0.004,0.022,0.007,0.05,0.043,0.002,0.006,0.002,0.004,0.099,0.086,0.005,0.011,0.998,0.042,,,,0,0.005,0.502874947223143,0.127664960575062,3.27450979992872,2.59053043163611,,
"J1256+4509",25,0,1,0.353,200,,7.87,0.01,,16060,1.72,0.17,0.018,18,2,8.8,88,0.8,3,0.027272727272727,1948,1893,1.03,70,3,88,2.1,1.45,0.11,0.52,0.03,4.02,0.1,0.32,0.03,,,,5.83,2.4,7.93E-15,7.3E-16,504000000000000,3.1,10,10,40,-90,50,160,20,250,54,-100,100,50,150,20,250,54,250,50,604,122,16.3,0.13,,,,,,,2.4,,2.52,0.076,0.029,0.346,0.11,21.4,1.5,1.97,,,,,,,14.88,0.52,19.01,0.52,13.69,125,174,,,,-48,44,100,99,,,,,,,,,,,,,0.407,0.069,0.125,0.41,0.101,0.409,0.591,0.079,0.969,0.03,0.38,0.057,0.406,0.14,0.24,0.089,0.031,0.03,0.499,0.172,0.295,0.088,0.76,0.066,,,,0,0.295,0.813429652524471,1.19245912583886,0.978684916057015,0.776727852190949,0.97601397693695,0.621802240041644
"J1448-0110",,2,4,0.0274,,,8.11,0.05,,,,,,,,,-18,-0.163636363636364,0.1,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.03,,,,,,1,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J1608+3528",,2,4,0.0327,,,7.83,0.19,,,,,,,,,163,1.48181818181818,12,,,,,,,,,,,,,,,0.18,0.04,,,,27.1,6.9,,,,,,,,,,,,214,30,,,,,,,,,,,,34.9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.08,,,,,,0.7046,0.295,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J1335+0801",,2,4,0.1235,,,8.1,0.45,,,,,,,,,-14,-0.127272727272727,0.5,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.04,,,,,,1,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J1457+2232",,2,4,,,,,,,,,,,,,,-4,-0.036363636363636,1,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,749,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.12,,,,,,1,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J1509+3731",,2,4,0.0325,,,7.88,0.1,,,,,,,,,12,0.109090909090909,1,,,,,,,,,,,,,,,0.05,0.02,,,,0.9,0.3,,,,,,,,,,,,400,27,,,,,,,,,,,,15.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.03,,,,,,0.9566,0.043,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J0851+5840",,2,4,0.0919,,,7.87,0.14,,,,,,,,,26,0.236363636363636,2,,,,,,,,,,,,,,,0.04,0.01,,,,0.4,0.4,,,,,,,,,,,,361,25,,,,,,,,,,,,9.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.04,,,,,,0.9818,0.018,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J0213+0056",,2,4,0.0399,,,8.03,0.1,,,,,,,,,42,0.381818181818182,4,,,,,,,,,,,,,,,0.12,0.02,,,,0.7,0.3,,,,,,,,,,,,397,47,,,,,,,,,,,,7.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.03,,,,,,0.7802,0.22,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J1226+0415",,2,4,0.0942,,,8,0.12,,,,,,,,,64,0.581818181818182,3,,,,,,,,,,,,,,,0.13,0.02,,,,3.6,1,,,,,,,,,,,,360,40,,,,,,,,,,,,8.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.03,,,,,,0.818,0.182,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J0240-0828",,2,4,0.0822,,,7.91,0.12,,,,,,,,,154,1.4,8,,,,,,,,,,,,,,,0.19,0.04,,,,4.3,1.2,,,,,,,,,,,,266,29,,,,,,,,,,,,13.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.08,,,,,,0.6794,0.321,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J1735+5703",,2,4,0.0472,,,8.11,0.08,,,,,,,,,64,0.581818181818182,4,,,,,,,,,,,,,,,0.09,0.04,,,,2.3,0.6,,,,,,,,,,,,460,47,,,,,,,,,,,,6.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.04,,,,,,0.7487,0.251,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J2302+0049",,2,4,0.0331,,,7.72,0.08,,,,,,,,,64,0.581818181818182,3,,,,,,,,,,,,,,,0.28,0.06,,,,8.7,2.2,,,,,,,,,,,,279,48,,,,,,,,,,,,8.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.12,,,,,,0.6164,0.384,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J1311-0038",,2,4,0.0811,,,7.98,0.17,,,,,,,,,71,0.645454545454546,4,,,,,,,,,,,,,,,0.23,0.05,,,,7.8,2,,,,,,,,,,,,273,26,,,,,,,,,,,,6.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.02,,,,,,0.7235,0.277,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J1200+2719",,2,4,0.0819,,,8.06,0.07,,,,,,,,,114,1.03636363636364,7,,,,,,,,,,,,,,,0.39,0.08,,,,1.3,0.4,,,,,,,,,,,,327,65,,,,,,,,,,,,8.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.1,,,,,,0.5912,0.409,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J0808+1728",,2,5,0.0442,,,7.61,0.18,,,,,,,,,31,0.281818181818182,2,,,,,,,,,,,,,,,0.36,0.07,,,,3.3,0.9,,,,,,,,,,,,146,37,,,,,,,,,,,,10.3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,0.541,0.459,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J0815+2156",,2,5,,,,,,,,,,,,,,68,0.618181818181818,4,,,,,,,,,,,,,,,0.28,0.06,,,,,,,,,,,,,,,,,296,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,0.724,0.277,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J1219+1526",,2,5,,,,,,,,,,,,,,17,0.154545454545455,9,,,,,,,,,,,,,,,0.58,0.08,,,,,,,,,,,,,,,,,242,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,1,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105263157894737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
