"Label","case","sampl","types","zused","R","SN","logoh","Errlogoh","Models","T","Size","rc","EbvMW","SFR","SFRdens","Logm","EW","Ewdiv","Errew","Errewdiv","Lumdist","Lumdistb","distratio","Fluxb","Lumb","Fluxlya","Errfluxlya","Lumha","Errlumha","Lumhb","Errlumhb","Lumlya","Errlumlya","FescLya","Errfesclya","Fesclyacorr","FescLyalog","Errfesclyalog","fmincont","errfmincont","flyamax","errflymax","ratio","lyaaym","Vtroughblue","Vtroughred","Errvtough","Vblue","Errvblue","Vred","Errvred","Vsep","Errvsep","Vbluecorr","Vblueinv","Errvbluecorr","Vredcorr","Errvredcorr","Vsepcorr","Errvsepcorr","Vwidthmin","Errvwidthmin","Vwidthmax","Errvwidthmax","OIII","ErrOIII","SiIIew","ErrSiIIew","VsiII","ErrvsiII","SiIIIew","ErrSiIIIew","Ageizo","Errage","Age","Ebv","Errebv","Ebvho","Errebvho","NHI","ErrN","ErrtotN","NsiII","ErrnsiII","NcII","ErrncII","NsIII","ErrnSIII","NOIfree","Errnofree","Nhfromno","Errnhfromno","Nsifromno","Bhfree","Errbhfree","Bofree","ErrBofree","Vshiftz","Vfree","Errvfree","Vofree","Errvofree","VsiIIb","ErrvsiIIb","VcII","ErrvcII","VsIII","ErrVsIII","Cfsidoublet","Errcfsidoublet","CfsiA","ErrcfsiA","Cfsiav","Cfsierr","Cffree","Errcffree","Errcffreetot","Cfdepth","Errcfdepth","Cfav","Invcfav","Cfstd","Cfho","Errcfho","Fescknown","Errfescknown","fesclycebv","Errfescebv","fescmescf","Errfescmescf","fescmescfh","Errfescmescfh","fesclyaebv","Errfesclyaebv","fesclyames","Errfesclyames","fcovcorr","Errfcovcorr","fcovsicorr","Errfcovsicorr","fesctot","Errz","fesclyames","ratioatt","ratioobs","Attlycred","Attlyared","Attlycsmc","Attlyasmc"
"GP1244+0216",3,0,0,0.23942,20,1.3,8.17,0.05,"Z02",,,1.02,0.02,26.2,,9.39,54,0.490909090909091,8,0.072727272727273,1248,1200,1.04,,3.4,200,10,6.08,1.22,,,3.73,0.75,0.07,0.02,0.005,-1.152,0.123,0.23,0.2,1.07,0.08,0.252,,-10,-10,50,-260,40,250,20,510,45,-250,250,40,260,20,510,45,379,49,730,110,3.6,0,1.35,0.26,-29,27,1.61,0.24,,,2.35,0.29,0.043,0.348,0.117,16.34,0.8,1.38,15.69,0.23,15.18,0.28,15.27,0.23,16.12,0.14,19.95,0.15,14.93,220,79,157,47,19,-78,48,-67,36,-151,62,-54,33,-66,39,0.486,0.389,0.506,0.177,0.5,0.16,0.909,0.352,0.357,0.95,0.131,0.946,0.054,0.123,0.994,0.004,,,,,0.002,0.004,0.006,0.004,0.071,0.036,0.004,0.009,0.998,0.017,0.968,0.016,0.028,0,0.004,0.454778578643688,,,,,
"GP1054+5238",4,0,0,0.25264,20,1.45,8.1,0.05,"Z02",,,0.62,0.01,22.4,,9.51,14,0.127272727272727,3,0.027272727272727,1326,1275,1.04,,3.1,170,20,5.54,1.11,,,3.58,0.72,0.07,0.02,0.007,-1.13,0.123,0.21,0.13,1.87,0.15,0.128,,-10,-10,60,-220,50,190,10,410,51,-210,210,50,200,10,410,51,480,29,604,64,2.5,0,0.72,0.2,-307,39,2.29,0.31,,,5,0.253,0.054,0.319,0.067,19.6,3.64,3.81,14.66,0.38,,,,,15.73,0.14,19.63,0.15,14.54,164,78,256,72,-10,-161,29,39,55,-180,120,,,,,0.405,0.341,0.49,0.224,0.46,0.19,0.778,0.115,0.131,0.889,0.158,0.823,0.177,0.101,0.992,0.004,,,,,0.009,0.008,0.008,0.004,0.099,0.063,0.018,0.013,0.991,0.027,0.952,0.024,0.009,0,0.018,0.502874947223143,,,,,
"GP0911+1831",5,0,0,0.26223,20,1.53,8,0.05,"Z02",,,0.57,0.03,16.8,,9.49,70,0.636363636363636,12,0.109090909090909,1383,1331,1.05,,6.8,330,10,5.27,1.05,,,7.55,1.51,0.16,0.05,0.006,-0.783,0.123,1.31,0.34,2.24,0.11,0.67,,-80,-80,30,-280,50,80,20,360,54,-200,200,50,160,20,360,54,374,16,508,24,1.8,0,,,,,1.3,0.4,,,3.93,0.352,0.038,0.37,0.088,16.76,0.38,1.19,14.66,0.35,,,,,15.73,0.15,19.73,0.16,14.54,188,43,221,79,-7,-273,40,-102,67,-155,41,,,,,0.395,0.355,0.451,0.328,0.43,0.24,0.731,0.137,0.15,0.765,0.116,0.752,0.248,0.092,0.997,0.003,,,,,0.004,0.002,0.003,0.003,0.04,0.018,0.01,0.005,0.996,0.006,0.98,0.007,0.012,0,0.01,0.384273114230837,,,,,
"S1226",8,0,0,2.92525,75,4.5,,,"Z02",,,,0.0213,,,,-2,-0.018181818181818,1,0.009090909090909,25284,25284,1,,3.11,0,0.003,4.56,0.4,12.99,2.89,0.21,0.01,0,0,0,,,0,0.05,,,,,-120,-120,40,,,95,10,,,,,,215,11,,,548,29,709,50,,,,,,,,,,,17.9,0.201,0.001,0.203,0.001,17.15,0.08,1.05,,,,,,,16.11,0.01,,,14.92,380,24,200,7,-57,-264,21,-290,11,,,,,,,0.969,0.06,0.909,0.042,0.93,0.03,0.932,0.023,0.038,0.998,0.009,0.994,0.006,0.009,1,0.001,,,,,0.001,0.001,0,0.001,0.159,0.002,0.001,0.001,0.999,0.009,0.989,0.013,0.038,0,0.001,0.579188593089379,,,,,
"S1527",9,0,0,2.76228,100,2.18,,,"Z04",,,,0.0503,,,,18,0.163636363636364,1,0.009090909090909,23602,23602,1,,5.37,1,0.007,29.47,8,83.98,18.66,0.13,0.01,0,0,0,,,0.07,0.21,,,,,-160,-160,20,,,140,20,,,,,,300,20,,,480,30,764,57,,,,,,,,,,,8.39,0.314,0.002,0.379,0.006,17.15,0.47,1.22,14.33,0.02,14.91,0.12,15.58,0.22,15.57,0.13,,,14.38,269,47,133,44,0,-247,25,-89,33,-88,16,-19,29,,,0.826,0.155,0.791,0.1,0.8,0.08,0.993,0.039,0.078,0.99,0.038,0.99,0.01,0.034,0.997,0.001,,,,,0,0.001,0.003,0.001,0.057,0.001,0.001,0.002,1,0.004,0.99,0.006,0.01,0,0.001,0.426069061925589,,,,,
"CosmicEye",11,0,0,3.07483,120,2.6,8.6,0.1,"Z02",,,,0.0475,100,,9.77,-30,-0.272727272727273,2,0.018181818181818,26841,26841,1,,0,0,0.006,,,,,0,0.05,0,0,0,,,0,0.03,,,,,,,,,,,,,,,,,,,,,467,99,470,80,,,,,,,,,,,10,0.371,0.006,0.425,0.004,22.59,0.067,1.28,,,,,,,20.64,0.66,24.04,0.67,19.45,199,5,24,77,0,311,16,208,9,,,,,,,0.975,0.065,0.943,0.025,0.95,0.02,0.92,0.015,0.07,0.998,0.024,0.99,0.01,0.023,0.999,0.001,,,,,0,0,0.001,0.001,0.034,0.002,0,0.001,1,0.002,0.998,0.005,0,0,0,0.364938766673777,,,,,
"J1154+2443",20,0,1,0.369,,,7.65,0.01,,19100,1.09,0.2,0.016,18.9,18.9,8.2,135,1.22727272727273,4,0.036363636363636,2051,2064,0.99,,6,154,2.7,1.46,0.01,0.46,0,7.75,0.14,0.61,0.03,,,,11.7,3.3,1.22E-14,1.06E-15,1600000000000000,1.3,20,20,20,-80,30,130,20,210,36,-100,100,30,110,30,210,42,170,86,310,139,11.5,0.1,,,,,,,2.6,,8.1,0.118,0.031,0.287,0.117,21.9,6.3,6.43,,,,,,,15,1.24,19.35,1.24,13.81,61,19,,,0,-289,92,,,,,,,,,,,,,,,0.404,0.111,0.152,0.472,0.105,0.45,0.55,0.086,0.959,0.048,0.46,0.02,0.247,0.091,0.136,0.054,0.041,0.048,0.34,0.125,0.187,0.061,0.864,0.047,,,,0,0.187,0.725704807306393,0.754157267056531,1.51,1.2,0.87,0.55
"J0901+2119",21,0,1,0.2993,200,,8.16,0.02,,12190,1.51,0.18,0.025,20,2.7,9.8,170,1.54545454545455,4,0.036363636363636,1609,1562,1.03,84,3,106,2.3,2.6,0.15,0.9,0.04,3.28,0.07,0.14,0.01,,,,5.3,2.4,4.89E-16,6.11E-15,1.74E+016,2,-80,-80,40,-180,40,140,20,320,45,-100,100,40,220,20,320,45,300,78,598,127,8.02453987730061,0.09,,,,,,,2.4,,11.9,0.22,0.057,0.445,0.134,21.3,1.06,1.66,,,,,,,,,,,,236,203,,,,-121,84,,,,,,,,,,,,,,,0.539,0.235,0.257,0.708,0.218,0.637,0.363,0.166,0.989,0.011,0.027,0.007,0.074,0.05,0.027,0.022,0.011,0.011,0.134,0.091,0.049,0.033,0.973,0.034,,,,0,0.049,0.550047252867632,0.186524962444737,2.83,2.24,,
"J1011+1947",22,0,1,0.3322,200,,7.99,0.01,,14610,1.48,0.15,0.025,25,4.1,9,115,1.04545454545455,4,0.036363636363636,1815,1763,1.03,92,4,123,2.6,3.02,0.17,1.06,0.05,4.84,0.1,0.18,0.01,,,,7.66,2.04,8.7E-15,8.06E-16,1200000000000000,2.4,-30,-30,30,-130,20,120,10,250,22,-100,100,20,150,10,250,22,284,45,416,63,27.1,0.11,,,,,,,3.4,,2.9,0.23,0.084,,,18.28,3.6,3.82,,,,,,,15.47,0.27,19.48,0.27,,53,25,,,,-69,32,,,,,,,,,,,,,,,0.644,0.244,0.265,0.727,0.147,0.708,0.292,0.113,,,0.114,0.018,0.065,0.065,0.019,0.02,,,0.122,0.122,0.036,0.031,0.981,0.047,,,,0,0.036,0.535303397744143,0.618234925897889,3.01615,2.39,,
"J1243+4646",23,0,3,0.4317,200,,7.89,0.01,,15690,1.75,0.19,0.012,80,8.4,7.8,98,0.890909090909091,3,0.027272727272727,2467,2401,1.03,142,10,180,2.8,2.88,0.19,1.03,0.06,12.98,0.2,0.52,0.04,,,,20.37,3.58,9.92E-15,1.04E-15,2510000000000000,3.2,40,40,20,-40,20,130,40,170,45,-80,80,20,90,40,170,45,,,,,13.5,0.11,,,,,,,2.7,,3.1,0.1,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.069,0.189,0.811,0.069,,,0.726,0.097,0.306,0.076,0.248,0.065,,,0.401,0.1,0.325,0.068,0.752,0.026,,,,0,0.325,0.762079010025412,1.40285489785001,1.34228,1.06383,,
